1;Vincenzo Alessandri;d. 1657;;Italy;Originally a Knight of Malta, Alessandri was captured and enslaved.[citation needed];
2;Cornelius Andreson;;1674–1675;Netherlands;He is best known for attacking English traders off Acadia and for serving in King Philip's War.;
3;Michiel Andrieszoon;17th century;1680s;Netherlands;Dutch merchant-pirate. Associated with Thomas Paine and Laurens de Graff.[citation needed];
4;John Ansell;d. 1689;;England;Sailed with Henry Morgan and participated in his raids against Maracaibo and Gibraltar, Venezuela.;
5;Jean Bart;1651–1702;1672–1697;France;Born the son of a fisherman, Bart retired an admiral in French service.;
6;Michel le Basque;17th century;1666–1668;France;Pirate and flibustier (French buccaneer) from the Kingdom of Navarre in the southwest of France. He is best known as a companion of François L'Olonnais, with whom he sacked Maracaibo and Gibraltar.;
7;John Bear;;1684–1689;England;English pirate active in the Caribbean who also served with the Spanish and French.;
8;Philippe Bequel;17th century;1650–1669;France;Was one of the first foreign privateers awarded a letter of marque by the governor of Jamaica;
9;Jacob Janssen van den Bergh;fl. 1660;1650s–1660s;Netherlands;Dutch corsair and slave trader for the Dutch West India Company.[citation needed];
10;Charlotte de Berry;17th century;1660s;England;A female pirate, she later commanded her own ship. Her story first appeared in 1836 and she may have been fictional.;
11;Lancelot Blackburne;1653–1743;1680–1684;England;Blackburne was an English clergyman, who became Archbishop of York, and – in popular belief – a pirate.;
12;Eduardo Blomar;d. 1679;1670s;Spain;Spanish renegade active in the Spanish Main during the 1670s. Tried in absentia and convicted of piracy with Bartolomé Charpes and Juan Guartem in Panama in 1679.[citation needed];
13;Pierre Bot;17th century;1680s;France;French buccaneer active in the Caribbean.[citation needed];
14;Alexandre Bras-de-Fer;17th Century;mid-17th Century;France;A flibustier (French buccaneer) in the latter half of the mid-17th century. He is best known for capturing a Spanish ship after being shipwrecked, though his story is possibly apocryphal.;
15;Roche Braziliano;17th century;1654–1671;Netherlands;Roasted two Spanish farmers alive when they refused to hand over their pigs.;
16;Nicolas Brigaut;1653–1686;1679–1686;France;French pirate and buccaneer active in the Caribbean. He was closely associated with fellow corsair Michel de Grammont.;
17;James Browne;17th Century;1676–1677;Scotland;Scottish pirate and privateer active in the Caribbean. He is best known for his hasty execution and the effects it had on colonial Jamaican government.;
18;Manuel Butiens;fl. 1645;1640s;Netherlands;Dutch renegade and Dunkirker in the service of Spain.[citation needed];
19;Jean du Casse;1646–1715;168?–1697;France;Born to Huguenot parents, du Casse was allowed to join the French navy on the value of his prizes taken while a buccaneer.;
20;Bartolomé Charpes;d. 1679;1680s;Spain;Spanish renegade who was tried in absentia and convicted of piracy with Eduardo Blomar and Juan Guartem in Panama by Governor Don Dionicio Alceda in 1679.[citation needed];
21;Jean Charpin;;1688–1689;France;"French pirate and buccaneer active in the Caribbean and off the coast of Africa. He is best known for sailing alongside Jean-Baptiste du Casse as well as for his Articles, or ""Pirate Code.""";
22;Nicholas Clough;;1682–1683;England;"Active in the Caribbean and off the coast of Africa. He is best remembered for leaving behind a well-documented Pirate Code, his ""Articles of Agreement"".";
23;Edward Collier;17th century;1668–1671;England;Served as Sir Henry Morgan's second-in-command throughout much of his expeditions against Spain during the mid-17th century.;
24;Edmund Cooke;17th Century;1673–1683;England;Merchant captain, buccaneer, and pirate. He is best known for sailing against the Spanish alongside Bartholomew Sharp, John Coxon, Basil Ringrose, Lionel Wafer, and other famous buccaneers. Cooke's flag was red-and-yellow striped and featured a hand holding a sword.;
25;John Cooke;d. 1683;1680s;England;English buccaneer who led an expedition against the Spanish in the early 1680s.[citation needed];
26;John Cornelius;;1687–?;Ireland;Irish pirate supposedly active in the Red Sea and off the west coast of Africa. He succeeded William Lewis, who was killed after announcing he'd made a pact with the Devil. Lewis and Cornelius are likely the fictional creations of Captain Charles Johnson, who presented their stories among those of real historical pirates.;
27;John Coxon;d. 1689;1677–1682;England;One of the most famous of the Brethren of the Coast, a loose consortium of pirates and privateers who were active on the Spanish Main.;
28;George Cusack;d. 1675;1668-1675;Ireland;Cruised both northern Europe and the West Indies, during and after the Anglo-Dutch Wars.;
29;William Dampier;1651–1715;1670–1688;England;Was the first person to circumnavigate the world three times.[20][21];
30;Edward Davis;17th century;1680–1688;England;Led the last major buccaneer raid against Panama.;
31;John Davis;18th century;;England;Davis was one of the earliest and most active buccaneers on Jamaica.;
32;Jacquotte Delahaye;17th century;1660s;France;Delahaye was a French Buccaneer, and together with Anne Dieu-Le-Veut was one of very few female buccaneers.;
33;Edward Dempster;17th Century;1667–1669;England;A buccaneer and privateer active in the Caribbean. He is best known for his association with Henry Morgan.;
34;Anne Dieu-Le-Veut;b. 1650;1650–1704;France;"Was originally one of the women – ""Filles de Roi"" – sent by the French government to Tortuga to become wives to the local male colonists.";
35;Cornelius Essex;d. 1680;1670s;England;"An English buccaneer who took part in Captain Bartholomew Sharp's privateering expedition, the ""Pacific Adventure"", during the late 1670s.";
36;Jacob Evertson;died 1695?;1681–1688;Netherlands;He escaped Henry Morgan and sailed with Jan Willems for several years.;
37;Alexandre Exquemelin;1645–1707;1669–16741697;France;A French writer, most known as the author of one of the most important sourcebooks of 17th century piracy, De Americaensche Zee-Roovers.;
38;Jacob Fackman;17th Century;1662–1666;England;English buccaneer and pirate active in the Caribbean. He is best known for attacking the Spanish alongside Henry Morgan, John Morris, and David Marteen.;
39;Jean Fantin;;1681-1689;France;French pirate active in the Caribbean and off the coast of Africa. He is best known for having his ship stolen by William Kidd and Robert Culliford.;
40;Philip Fitzgerald;17th Century;1672–1675;Ireland;Irish pirate and privateer who served the Spanish in the Caribbean.;
41;Jean Foccard;17th century;1680s;France;Associate of Laurens de Graaf and Michel de Grammont. He later joined them in their attack on Tampico in 1682.[citation needed];
42;Pierre Francois;17th Century;mid-17th Century;France;Mid-17th-century flibustier, or French buccaneer, active in the Caribbean. He is best known for a single attack on a Spanish pearl-diving fleet. His story appears only in Alexandre Exquemelin's History of the Buccaneers and the truth of his account is uncertain.;
43;Thomas Freeman;17th Century;1655–1680;England;English buccaneer and pirate active in the Caribbean. He is best known for attacking the Spanish alongside Henry Morgan, David Marteen, and John Morris.;
44;Laurens de Graaf;1653–1704;1672–1697;Netherlands;"Characterised as ""a great and mischievous pirate"" by Henry Morgan, de Graaf was a Dutch pirate, mercenary, and naval officer in the service of the French colony of Saint-Domingue.";
45;John Graham;17th Century;1683–1686;England;English pirate active off New England and the African coast. May have been a doctor as well.;
46;Michel de Grammont;1645–1686;1670–1686;France;A French buccaneer, de Grammont primarily attacked Spanish holdings in Maracaibo, Gibraltar, Trujillo, La Guaira, Puerto Cabello, Cumana and Veracruz;
47;Pierre le Grand;17th century;;France;Known only for a single attack against a Spanish galleon, his existence is disputed.;
48;"""Red Legs"" Greaves";17th Century;1670s–1690?;Scotland;"Greaves's nickname was based on a commonly used term for reddened legs often seen among the Scottish and Irish who took to wearing kilts in almost any weather. Noted for his raid of Margarita Island. He may have been fictional; his story first appeared in 1924.";
49;Francois Grogniet;17th Century;1683–1687;France;French buccaneer and pirate active against the Pacific coast of Spanish Central America.;
50;Juan Guartem;17th century;1670s;Spain;A Spanish renegade pirate who raided Spanish settlements in New Spain during the late 17th century with his most notable raid being against Chepo in 1679.;
51;Jean Hamlin;17th century;1682–1684;French;French buccaneer active in the Caribbean and off the coast of Africa. He was often associated with St. Thomas' pirate-friendly Governor Adolph Esmit.;
52;Peter Harris;d. 1680;1670s;England;"English buccaneer and member of Captain Bartholomew Sharp's ""Pacific Expedition"". Killed at Panama in 1680.[citation needed]";
53;Richard Hawkins;1562–1622;1593–1594;England;A buccaneer and explorer who was later knighted.;
54;Thomas Hawkins;d. 1690;1689;Unknown;Pirate briefly active off New England. He was known for sailing with Thomas Pound.;
55;Thomas Henley;;1683–1685;Colonial America;A pirate and privateer active in the Red Sea and the Caribbean.;
56;Henry Holloway;;1687;Colonial America;A pirate active off the American east coast, from South Carolina to Maine. Aided by a member of Governor James Colleton's Grand Council.;
57;Nicholas van Hoorn;1635–1683;1663–1683;Netherlands;Merchant, privateer and later pirate, van Hoorn was hugely successful before dying of wound infection.;
58;William Jackson;17th century;1639–1645;England;It was the fleet under his command that captured Jamaica for England.;
59;Bartholomeus de Jager;fl. 1655;1650s;Netherlands;Dutch corsair active against the Portuguese. He attacked a small merchant fleet at Fernando de Noronha capturing one merchant ship and driving off the other.[citation needed];
60;Daniel Johnson;1629–1675;1657–1675;England;"Became known as ""Johnson the Terror"" among the Spanish.";
61;William Knight;17th century;1684–1686;England;Along with Edward Davis, he took part in the final large buccaneer attack on Spanish holdings.;
62;Jean L’Escuyer;17th Century;1685;France;French pirate active on the Pacific coast of Central America. He sailed and fought alongside a number of prominent buccaneers such as Edward Davis, Francois Grogniet, William Dampier, and others.;
63;François l'Olonnais;1635–1668;1660–1668;France;"Nicknamed ""The Bane of Spaniards"" (French: Fléau des Espagnols). l'Ollonais had a reputation for brutality, offering no quarter to Spanish prisoners. Famous by his raids against Maracaibo and Gibraltar, Venezuela.";
64;Jelles de Lecat;17th Century;1668–1674;Netherlands;"Sacked Spanish territories alongside Brasiliano, Reyning, Bradley, and Morgan. Often called ""Yellahs,"" ""Yallahs,"" or ""Captain Yellows.""";
65;William Lewis;;1687-?;Unknown;Pirate supposedly active in the Caribbean, off the American east coast, and the west coast of Africa. He was known for sparing his victims, and for being killed after announcing he had made a pact with the Devil. He is likely the fictional creation of Captain Charles Johnson, who presented his story among those of real historical pirates.;
66;Edward Low;17th century;c. 1635–c. 1668;England;British pirate active in the Caribbean during the 1660s.;
67;Raveneau de Lussan;b. 1663;1684–1688;France;"An impoverished nobleman. Attacked targets in Central America. Known for a ""long march"" in 1688.";
68;Thomas Magott;17th century;1680s;England;"English buccaneer who sailed with Bartholomew Sharp and others on the ""Pacific Adventure"".[citation needed]";
69;Marquis de Maintenon;1648–1691;1672–1676;France;A French nobleman who became a buccaneer in the Caribbean, selling his castle and title to Madame de Maintenon. Remarkable his raid of Margarita Island.;
70;Edward Mansvelt / Mansfield;d. 1666;1650s–1660s;Curaçao;"Dutch buccaneer in English service. Known as the Admiral of the ""Brethren of the Coast"", Mansvelt was a mentor to Sir Henry Morgan who succeeded him following his death.";
71;David Marteen;17th century;1663–1665;Netherlands;Known primarily as the sole non-English Captain who participated in the raids against Spanish strongholds in present-day Mexico and Nicaragua.;
72;Montbars the Exterminator;1645–1701?;1660s–1670s;France;"A former French naval officer and gentleman adventurer, he engaged in a violent and destructive war against Spain in the Caribbean and the Spanish Main. His hatred of the Spanish earned him the name ""Montbars the Exterminator"".";
73;Sir Henry Morgan;1635–1688;1663–1674;Wales;A privateer (and pirate) who later retired to become Lieutenant Governor of Jamaica.[22][23] he participated in his raids against Panama, Maracaibo, Gibraltar, Porto Bello.;
74;John Morris;17th century;1663–1672;England;A skilled pilot, he served with both Christopher Myngs and Henry Morgan before becoming a pirate hunter.;
75;Sir Christopher Myngs;1625–1666;1650s–1660s;England;"Described as ""unhinged and out of tune"" by the governor of Jamaica, Myngs nevertheless became a Vice-Admiral of the Blue in the Royal Navy. In 1658, raided the coast of South-America; failing to capture a Spanish treasure fleet, he destroyed Tolú and Santa Marta in present-day Colombia instead. In 1659, he plundered Cumaná, Puerto Cabello and Coro in present-day Venezuela.";
76;Thomas Paine;17th century;1680s;England;A colonial American privateer who raided several settlements in the West Indies with Jan Willems, most notably against Rio de la Hacha in 1680. He also drove the French from Block Island.;
77;Manuel Ribeiro Pardal;d. 1671;1668–1671;Portugal;Portuguese privateer in the service of Spain. One of the few successful privateers active against the buccaneers of the Caribbean during the late 17th century.;
78;George Peterson;17th Century;1686–1688;England;"Part of his crew consisted of the remnants of the crews of Jean Hamlin and two recently deceased pirates, Jan ""Yankey"" Willems and Jacob Evertson.";
79;Pierre Le Picard;fl. 1666–1690;1660s–1690s;France;An officer under l'Ollonais and Henry Morgan, he and Moise Vauquelin left to pursue a career on their own. He later served in King William's War. He may have been one of the first buccaneers to raid shipping on both the Caribbean and Pacific coasts.;
80;Chevalier du Plessis;d. 1668;1660s;France;French privateer active in the West Indies. He was succeeded by Moise Vauquelin following his death.[citation needed];
81;Baron Jean de Pointis;1635–1707;1690s;France;His greatest venture was the 1697 Raid of Cartagena.;
82;Bartolomeu Português;b. 1630;1666–1669;Portugal;One of the earliest pirates to use a pirate code.;
83;Thomas Pound;d. 1703;1689;England;Briefly commanded a small ship near Massachusetts before being captured.;
84;Lawrence Prince;fl. 1659–1672;1650s–1670s;Netherlands;Dutch buccaneer in English service. An officer under Sir Henry Morgan, he and John Morris led the vanguard at Panama in 1671.;
85;Philip Ras;fl. 1652–1655;1650s;Netherlands;Captured several English ships as both a corsair and privateer during the First Anglo-Dutch War.[citation needed];
86;Stenka Razin;1630–1671;;Russia;A Cossack pirate who operated on the Volga and later expanded into the Caspian Sea.;
87;Peter Roderigo;;1674–1675;Netherlands;He is best known for attacking English traders off Acadia and for serving in King Philip's War.;
88;Richard Sawkins;d. 1680;1679–1680;England;Participated, along with John Coxon and Bartholomew Sharp, in the surprise attack on Santa Maria in Panama.;
89;Lewis Scot;fl. 1663;1660s;England;Known for his attack on the city of Campeche, on the Yucatan Peninsula.;
90;Bartholomew Sharp;1650–1690;1679–1682;England;Plundered 25 Spanish ships and numerous small towns.;
91;Gustav Skytte;1637–1663;1657–1663;Sweden;Attacked ships in the Baltic Sea, along with other accomplices of noble descent.;
92;Bernard Claesen Speirdyke;fl. 1663–1670;1660s–1670s;Netherlands;Dutch buccaneer active in the Caribbean, he was captured by Captain Manuel Ribeiro Pardal near Cuba and later executed.;
93;Charles Swan;17th century;;England;A reluctant pirate, he begged for a pirate even as he looted his way around South America.;
94;Jacques Tavernier / Le Lyonnais;1625–1673;1664–1673;France;French buccaneer who took part in expeditions with Laurens de Graaf, Michel de Grammont, Pierre Le Grand, François l'Ollonais and Sir Henry Morgan before his execution in 1673. His existence is disputed as the only pre-20th century reference to him appears in Appleton's Cyclopedia of American Biography.[24][25];
95;Moïse Vauquelin / Moses Vanclein;fl. 1650–1672;1650s–1670s;France;An officer under l'Ollonais, he also had a partnership with Pierre le Picard. In his later years, he wrote a book detailing the coastline of Honduras and the Yucatan along with fellow buccaneer Philippe Bequel.;
96;Captain Veale;17th Century;1685;England;Attacked ships along New England from Virginia to Boston with pirate John Graham.;
97;Thomas Veale;17th Century;mid-1600s;England;Known for legends of his buried treasure.;
98;Cornelis Janszoon van de Velde;fl. 1655;1650s;Netherlands;Dutch corsair active near the Antillen, he was briefly associated with Bartholomeus de Jager.[citation needed];
99;Lionel Wafer;1640–1705;1679–1688;Wales;An explorer whose work helped inspire the Darien Scheme.;
100;Janke / Yankey Willems;fl. 1681–1687;1680s;Netherlands;Dutch buccaneer active in the Caribbean.;
101;Francis Witherborn;17th Century;1670–1672;England;English buccaneer, privateer, and pirate active in the Caribbean. He is best known for his brief association with Henry Morgan.;
102;Uluj Ali;1519–1587;1536–1550;Turkey;An Italian-born Muslim corsair, who later became an Ottoman admiral and Chief Admiral (Kaptan-ı Derya) of the Ottoman Fleet in the 16th century.;
103;Nicholas Alvel;early 17th century;1603;England;Active in the Ionian Sea.[citation needed];
104;Pedro Menéndez de Avilés;1519–1574;1565;Spanish;A Spanish Admiral and pirate hunter, de Aviles is remembered for his destruction of the French settlement of Fort Caroline in 1565.;
105;Samuel Axe;early 17th century;1629–1645;England;An English privateer in Dutch service, Axe served with English forces in the Dutch Revolt against Habsburg rule.;
106;Sir Andrew Barton;1466–1511;to 1511;Scotland;Served under a Scottish letter of marque, but was described a pirate by English and Portuguese.;
107;Abraham Blauvelt;d. 1663;1640–1663;Netherlands;One of the last Dutch corsairs of the mid-17th century, Blauvelt mapped much of South America.;
108;Jambe de Bois;d. 1563;1550s–1560s;France;Known for his sacking of Santiago de Cuba in 1554;
109;Jean Bontemps;early 16th century;1559–1572;France;Active in the Caribbean Sea. He attacked Santa Marta, Cartagena de Indias, Rio de Hacha and Margarita island.;
110;Jan de Bouff;early 17th century;1602;Netherlands;de Bouff served as a Dunkirker in Habsburg service during the Dutch Revolt.;
111;Roche Braziliano;c. 1630–1671?;c. 1630–1671;Dutch Brazilian;Pirate born in the town of Groningen.;
112;Hendrik Brouwer;1581–1643;1600,  1643;Netherlands;Brouwer was a privateer who fought the Habsburgs during the Dutch revolt, holding the city of Castro, Chile hostage for a period of two months.[5];
113;Nathaniel Butler;b. 1578;1639;England;Despite a comparatively unsuccessful career as a privateer, Butler was later colonial governor of Bermuda.;
114;John Callis;c. 1558–1587?;c. 1574–1587;England;Welsh pirate active along the southern coast of Wales.;
115;Thomas Cavendish;1560–1592;1587–1592;England;The first man to intentionally circumnavigate the globe, Cavendish also raided numerous Spanish towns and ships in the New World.[6][7][8][9][10];
116;Jacob Collaart;17th century;1625–1635;Netherlands;A Flemish admiral who served as privateer and one of the Dunkirkers in Spanish Habsburg service during the Dutch Revolt, responsible for the destruction of at least 150 fishing boats.;
117;Claes Compaan;1587–1660;1621–1627;Netherlands;Former Dutch corsair and privateer, he later became a pirate and was successful in capturing hundreds of ships in Europe, the Barbary coast and West Africa.;
118;Baltazar de Cordes;d.1601?;1598–1601;Netherlands;A Dutch corsair who fought against the Spanish during the early 17th Century.;
119;Simon Danziker;d. 1611;1600s–1610s;Netherlands;Dutch corsair and privateer who later became a Barbary corsair based in Algiers and Tunis during the early 17th century. He and John Ward dominated the Western Mediterranean during the early 17th century.;
120;Sir Francis Drake;1540–1596;1563–1596;England;"Known as ""el Draque"" (the Dragon), he was an Elizabethan corsair considered a hero in England, but little more than a pirate in Spain.[11][12]";
121;Peter Easton;1570–1619;1602;England;A privateer, then pirate, who was able to retire in Villefranche, Savoy with an estimated worth of two million pounds.;
122;Jan Evertsen;;1630s;Netherlands;Dutch admiral and corsair.[citation needed];
123;Juan Garcia;fl. 1622;1620s;Spain;One of the Spanish privateers who accompanied Jan Jacobsen on his last voyage in 1622.;
124;Sir Michael Geare;c. 1565–?;c. 1584–1603;England;Elizabethan Sea Dog active in the West Indies up until the turn of the 17th century.;
125;Sir John Hawkins;1532–1595;1554, 1564, 1567;England;An Elizabethan corsair and some-time slaves trader in West Africa and Venezuelan coasts. His work in ship design was important during the threat of invasion from the Spanish Armada.[13][14];
126;Piet Pieterszoon Hein;1577–1629;1628;Netherlands;After serving as a Spanish galley slave for four years, Hein later captured 11,509,524 guilders of cargo from the Spanish treasure fleet.;
127;Moses Cohen Henriques;early 17th century;1620s and 1630s;Netherlands;Dutch pirate of Portuguese Sephardic Jewish origin active in the Caribbean against Spain and Brazil against Portugal;
128;Richard Ingle;1609–1653;1644–1653;England;Maryland privateer and pirate. In an extension of the English Civil War in the Catholic colony of Maryland he and the Puritan settlers plundered ships belonging to Catholics and the colonial governor Lord Baltimore. Ingle seized control of the colonial capital briefly and was later hanged for piracy.;
129;Pieter Adriaanszoon Ita;fl. 1628–1630;1620s;Netherlands;Dutch corsair and privateer. Commanded one of the earliest and largest expeditions against the Portugal and Spain in the Caribbean during 1628.;
130;Jan Jacobsen;d. 1622;1610s–1620s;Netherlands;Flemish-born privateer in English service during the Eighty Years' War.;
131;Willem Jacobszoon;fl. 1624–1625;1620s;Netherlands;Dutch corsair who accompanied Pieter Schouten on one of the first major expeditions to the West Indies.[citation needed];
132;Willem Jansen;fl. 1600;1600s;Netherlands;Dutch corsair based in Duinkerken and one time officer under Jacques Colaert.[citation needed];
133;Jan Janszoon;1570–after 1641;;Holland;Turkish service of the 'fleet from Salé';
134;Zheng Jing;1643–1682;1662–1682;China;Chinese pirate and warlord. The eldest son of Koxinga and grandson of Zheng Zhilong, he succeeded his father as ruler of Tainan and briefly occupied Fukien.;
135;Cornelius Jol;1597–1641;1630s–1640s;Netherlands;Dutch corsair successful against the Spanish in the West Indies. One of the first to use a wooden peg leg.;
136;Shirahama Kenki;16th-early 17th centuries;;Japan;Japanese pirate and one of the first Japanese with whom the southern Vietnamese kingdom of the Nguyễn Lords made contact.;
137;Lawrence Keymis;fl. –1618;1595/1596–1617;England;Lawrence Keymis was a seaman and companion of Sir Walter Raleigh in his expeditions to Spanish colony of Guayana in 1595 and 1617 to search for England El Dorado (actual Venezuela).[15] In another expedition in 1596 led a force inland Guayana along the banks of the Essequibo River, reaching what he wrongly believed to be Lake Parime.[16];
138;Sir James Lancaster;1554–1618;1591–1603;England;Elizabethan Sea Dog active in India during the late 16th century. Later a chief director for the East India Company.;
139;Peter Love;d. 1610;;England;An English pirate who set up base in the Outer Hebrides and was active around Ireland and Scotland. He was betrayed by the outlaw Neil MacLeod and executed in 1610.;
140;Hendrick Jacobszoon Lucifer;1583–1627;1627;Netherlands;Hendrick captured 1.2 million guilders from a Honduran treasure fleet, but was mortally wounded in the process.;
141;Sir Henry Mainwaring;1587–1653;1610–1616;England;English privateer and pirate hunter. His pirate fleet nearly broke the truce between England and Spain following the Anglo-Spanish War.;
142;Arnaut Mami;mid 16th century;1572–1576;Albania;Active in the Narrow Sea (the modern day Adriatic Sea). He was the squadron admiral and the supreme commander of all Islamic vessels in North Africa and Pasha Algiers, known as the most formidable corsair of that period.;
143;Jan Mendoza[3];b. Late 1500;Early 1600;Spain or Netherlands;Plundered the water between Iceland and Norway, and the coast of Finnmark and Nordland. Hunted down and captured by Admiral Jørgen Daa and explorer Jens Munk by order of king Christian IV of Denmark-Norway. Mendoza was executed by hanging in Copenhagen. The king recovered 8 treasure chests of gold coins, each chest requerd 10 man to lift.;
144;Olivier van Noort;1558–1627;1598–1601;Netherlands;Despite his venture being of limited success, it was the inspiration that led to the formation of the Dutch East India Company.;
145;Roger North;1585–1652;1617;England;"Roger North was a seaman and companion of Sir Walter Raleigh in his expeditions to Spanish colony of Guayana in 1617 to search for England El Dorado (actual Venezuela).[15] North in 1619 petitioned for letters patent authorising him to establish the king's right to the coast and country adjoining the River Amazon; to found a plantation or settlement there, and to open a direct trade with the natives.";
146;John Nutt;;1620–1623;England;An English pirate active in Newfoundland.;
147;Gráinne O'Malley;1530–1603;1560s–1600s;Ireland;An important figure in Irish legend who is still present in popular culture today.[17][18];
148;John Oxenham;1536–1580;1570s–1600s;England;Elizabethan Sea Dog and associate of Sir Frances Drake during the early years of the Anglo-Spanish War. First English privateer to enter the Pacific though Panama.[citation needed];
149;William Parker;d. 1617;1590s–1600s;England;Elizabethan Sea Dog active in the West Indies. Successfully attacked Porto Bello in 1602 without firing a shot.[citation needed];
150;Pedro de la Plesa;fl. 1622;1620s;Spain;He and Juan Garcia who joined Jan Jacobsen on his final voyage in 1622.;
151;Sir Amyas Preston;c. ?–1609;c. 1595–1597;England;Elizabethan Sea Dog as part of expedition of Walter Raleigh in 1595 sacked Caracas and Coro with George Somers.;
152;Sir Walter Raleigh;fl. 1554–1618;1595–1617;England;Elizabethan corsair who commanded two expeditions to search for England El Dorado in Spanish colony of Guayana (actual Venezuela).;
153;Assan Reis;fl. 1626;1620s;Netherlands;Former Dutch privateer turned Barbary corsair. He attacked the Dutch ship St. Jan Babtista under Jacob Jacobsen of Ilpendam on March 7, 1626.[citation needed];
154;Murat Reis the Elder;1506–1608;1534–1608;Rhodes;An Ottoman Albanian privateer and Ottoman admiral who took part in all of the early naval campaigns of Turgut Reis.;
155;James Riskinner;17th century;1630s;England;A lieutenant on the ship Warwick, then part of a fleet under the command of Nathaniel Butler, he later took part in a privateering expedition between May–September 1639.;
156;Jean-François de La Rocque de Roberval;1500–1560;1623–1645;France;French nobleman and adventurer who, through his friendship with King Francis, became the first Lieutenant General of New France. As a corsair he attacked towns and shipping throughout the Spanish Main, from Cuba to Colombia. He died in Paris as one of the first Huguenot martyrs.;
157;Ben Robins;1607–1640;;England;English privateer and slave trader in the West Indies.;
158;Isaac Rochussen;1631–1710;1660s–1670s;Netherlands;A Dutch corsair active against the English during the Second and Third Anglo-Dutch War. His capture of The Falcon, an East India merchantman, was one of the most valuable prizes captured during the late-17th century.;
159;Mahieu Romboutsen;fl. 1636;1630s;Netherlands;Dutch corsair in the service of Spain. Was part of a three ship squadron under Jacques Colaert and was captured with him after a five-hour battle with Jan Evertsen.[19];
160;William Rous;fl. 1636–1645;1630s–1640s;Netherlands;Dutch corsair and privateer based on Providence Island. He was involved in privateering expeditions for the Providence Island Company and later commander of Fort Henry.;
161;Jan van Ryen;d. 1627;1620s;Netherlands;Dutch corsair active in the West Indies. Reportedly killed with a number of colonists attempting to establish one of the first colonies on the Wiapoco in Dutch Guiana.;
162;Pieter Schouten;fl. 1624–1625;1620s;Netherlands;Dutch corsair who led one of the Dutch expeditions to the West Indies.;
163;Sir George Somers;c. 1564–1610;c. 1595–1607;England;Elizabethan Sea Dog in 1595 sacked Caracas and Coro with Amyas Preston. Active in the West Indies up until the turn of the 17th century.;
