1;Vincenzo Alessandri;d. 1657;;Italy;Originally a Knight of Malta, Alessandri was captured and enslaved.[citation needed];
164;Jacques de Sores;16th century;1555;France;A French pirate whose sole documented act was his attack and burning of Havana in 1555.;
165;Matsura Takanobu;1529–1599;;Japan;One of the most powerful feudal lords of Kyūshū and one of the first lords to allow trading with Europeans;
166;Guillaume Le Testu;1509–1573;1560s–1570s;France;French privateer, explorer and cartographer. First navigator to chart Australia in 1531.;
167;Dirck Simonszoon van Uitgeest;fl. 1628–1629;1620s;Netherlands;Dutch corsair who commanded a WIC expedition to Brazil bringing back over 12 Portuguese and Spanish prizes.[citation needed];
168;De Veenboer;d. 1620;1600s–1610s;Netherlands;Former Dutch corsair and privateer. Later became a Barbary corsair under Simon the Dancer and eventually commanded the Algiers corsair fleet.;
169;Sir Francis Verney;1584–1615;1608–1610;England;English nobleman who left behind his inheritance to become a Barbary corsair.;
170;Johannes van Walbeeck;fl. 1634;1620s–1630s;Netherlands;Dutch admiral and corsair. Captured Curaçao in 1634 and later served as governor.;
171;John Ward;1552–1622;1603–1610s;England;A notorious English pirate around the turn of the 17th century who later became a Barbary Corsair operating out of Tunis during the early 1600s.;
172;Jacob Willekens;1571–1633;1590s–1630s;Netherlands;Dutch admiral who led Dutch corsairs on the first major privateering expedition to the West Indies.;
173;Cornelis Wittebol;fl. 1622;1620s;Netherlands;Dutch corsair in Spanish service. In February 1622, attacked a fishing fleet from the Veere and Maasmond sinking several ships and bringing back the survivors to ransom in Duinkerken.[citation needed];
174;Hendrik Worst;fl. 1624;1620s;Netherlands;Dutch corsair who accompanied Pieter Schouten in his expedition to the West Indies.[citation needed];
175;Wang Zhi;16th century;1551–1555;China;One of the chief figures among the wokou of the 16th century.;
176;Zheng Zhilong;1604–1662;1623–1645;China;A convert to Christianity, Zhilon collaborated with Dutch forces, helping to create a monopoly on trade with Japan.;
177;Filips van Zuylen;fl. 1624;1620s;Netherlands;Dutch corsair active against the Portuguese in West Africa.;
178;Giorgio Adorno;d. 1558;;Malta;"Knight of Malta active in the Mediterranean. Originally from Naples, he was elected ""Captain-General of the Galleys"" in 1547, 1549, 1557 and 1558.[2]";
179;James Alday;1516–1576;1540s;England;An English privateer. Raided Spanish ports with James Logan and William Cooke.;
180;William Aleyn;fl. 1448;1432–1448;England;English pirate active in the Thames and English Channel. Associate of William Kyd.;
181;Jean Ango;1480–1551;;France;A French ship-owner who provided ships to Francis I for exploration of the globe.;
182;Aruj;1474–1518;1503–1518;Ottoman Empire;An Ottoman privateer and Bey (Governor) of Algiers and Beylerbey (Chief Governor) of the West Mediterranean.;
183;Awilda;5th century;;Scandinavia;She and some of her female friends dressed like sailors and commandeered a ship.;
184;Hayreddin Barbarossa;c. 1478–1546;1504–1545;Ottoman Empire;An Ottoman privateer and later Admiral who dominated the Mediterranean for decades.;
185;Barnim VI, Duke of Pomerania;c. 1365–1405;1394–1405;Germany (Pomerania);A Pomeranian duke supporting privateers in the Baltic Sea region and later going on pirate raids himself.;
186;Baldassare Cossa;1370–1415;;Procida;Antipope during the Western Schism, John XXIII was accused of—among other crimes—piracy, incest and sodomy.;
187;John Crabbe;d. 1352;1305–1332;Flanders;Flemish pirate best known for his successful use of a ship-mounted catapult. Once won the favor of Robert the Bruce and acted as a naval officer for England during the Hundred Years' War (after being captured by King Edward III.);
188;Pier Gerlofs Donia;c. 1480–1520;;Netherlands (Frisia);a Frisian warrior, pirate, freedom fighter, folk hero and rebel.;
189;Erlend Eindridesson[3];;1445–?;Norway;Norwegian nobleman, plundered German ships in the Sognefjord.;
190;Eric of Pomerania;c. 1381-82–1459;;Germany (Pomerania);"The first king of the Nordic Kalmar Union, he spent his last years living on the island of Gothland and ""sent forth piratical expeditions against friend and foe alike"".[4]";
191;Alv Erlingsson;d. 1290;;Norway;He was a favorite of the Queen, yet committed countless acts of piracy throughout his life;
192;Eustace the Monk;c. 1170–1217;;France;He was a mercenary for both England and France.;
193;Jean Fleury;d. 1523;c. 1521-1527;France;French privateer and naval officer under Jean Ango. Seized three Spanish ships carrying Aztec treasure from Mexico to Spain in 1523.;
194;Magnus Heinason;1545–1589;;Faroe Islands;Faroese naval hero and privateer. Was executed for piracy, though charges were later dropped.;
195;Klein Henszlein;d. 1573;1560–1573;Germany;A 16th-century pirate who raided shipping in the North Sea until his defeat and capture by a fleet from Hamburg;
196;Wijerd Jelckama;c. 1490–1523;;Germany (Frisia);The nephew of Pier Gerlofs Donia (also known as Grutte Pier), fought along his side against the Saxon and Hollandic invaders.;
197;William Kyd;fl. 1430–1453;1430s–1450s;England;English pirate active in Southwest England during the early-to-mid-15th century.;
198;Gödeke Michels;d. 1402;1392–1402;Germany;A German pirate and one of the leaders of the Likedeelers, a combination of former Victual Brothers (Vitalienbrüder);
199;Martin Pechlin;1480–1526;;Germany;Died in Mandal, Norway. One of the most feard pirates in his time;
200;Didrik Pining;c. 1430–1491;;Denmark-Norway;A pirate and privateer operating in the North Sea. Often partnered with Hans Pothorst.;
201;Hans Pothorst;c. 1440–1490;;Denmark-Norway;A pirate and privateer operating in the North Sea. Often partnered with Didrik Pining.;
202;Salih Reis;c. 1488–1568;;Ottoman Empire;A Turkish privateer and Ottoman admiral.;
203;Turgut Reis;1485–1565;;Ottoman Empire;"A Turkish privateer and Ottoman admiral as well as Bey of Algiers; Beylerbey of the Mediterranean; and first Bey later Pasha of Tripoli.";
204;Klaus Störtebeker;1360–1401;1392–1401;Germany;A German pirate and one of the leaders of the Likedeelers, a combination of former Victual Brothers (Vitalienbrüder);
205;Yermak Timofeyevich;c. 1532-42–1585;?–1582;Russia;A leader of a gang of river pirates, along the Don River region, of Russia and later, led an expedition, in the Russian conquest of Siberia, in the reign of Tsar Ivan the Terrible.;
206;Kristoffer Trondson;c. 1500–1565;c. 1535–1542;Norway;A Norwegian nobleman-turned pirate and privateer. Operated in the North Sea and the Baltic Sea. Gave up piracy in 1542 and eventually, became admiral of the Danish Fleet.;
207;Bartholomeus Voet[3];b. early 1400;;Norway;Second leader of Victual Brohers, plundered and burned down the norweagian city Bergen in 1429;
208;Hennig Wichmann;1370–1402;1392–1402;Germany;A German pirate and one of the leaders of the Likedeelers, a combination of former Victual Brothers (Vitalienbrüder);
209;Cord Widderich;d. 1447;1404–1447;Germany;A pirate active during political conflicts between Dithmarschen and North Frisia in the early 15th century.;
210;Magister Wigbold;1365–1402;1392–1402;Germany;A German pirate and one of the leaders of the Likedeelers, a combination of former Victual Brothers (Vitalienbrüder);
211;Wimund;b. 1147;;England;He was a bishop who became a seafaring warlord adventurer.;
212;James Allison;?;1689-1691;Colonial America;Active near Cape Verde and the Bay of Campeche. Almost the entire record of Allison's piracy comes from trial records of a single incident, the seizure of the merchantman Good Hope.;
213;Thomas Anstis;d. 1723;1718–1723;England;Was mainly active in the Caribbean, and served under first Howell Davis and later Bartholomew Roberts.[24][27];
214;Leigh Ashworth;?;1716–1719;Unknown;A pirate and privateer operating in the Caribbean in the early 1700s.;
215;John Auger;1678–1718;1718;Unknown;Active in the Bahamas around 1718. He is primarily remembered as the best known pirate captured by pirate turned pirate-hunter Benjamin Hornigold.;
216;Adam Baldridge;?;fl. c. 1685–1697;England;English pirate and one of the early founders of the pirate settlements in Madagascar.;
217;Jonathan Barnet;?;1715–1720;England;English privateer active in the Caribbean. He is best known for capturing pirates Calico Jack, Anne Bonney, and Mary Read.;
218;Thomas Barrow;d. 1726;1702–1718;Unknown;Pirate active in the Caribbean. He is best known for proclaiming himself Governor of New Providence.;
219;Don Benito;?;1725;Spain;Real name possibly Benito Socarras Y Aguero, he was a Spanish pirate and guarda costa privateer active in the Caribbean.;
220;Charles Bellamy;?;1717–1720;England;"English pirate who raided colonial American shipping in New England and later off the coast of Canada. He is often confused with the more well-known Samuel ""Black Sam"" Bellamy, as they operated in the same areas at the same time.";
221;Samuel Bellamy (Black Sam);1689–1717;1716–1717;Hittisleigh, Devonshire, England;"Despite having a career of only 16 months, Bellamy was extraordinarily successful, capturing more than 50 ships before his death at age 28.[27]  His acquired wealth of five tons of treasure from his short career is speculated at US $120 million in 2008 dollars.[28] Bellamy began his pirate career under the command of Henry Jennings, a Buccaneer that turned pirate; but double-crossing Jennings, Bellamy fled to the Bahamas and joined Jennings' nemesis, Benjamin Hornigold of the Mary Anne. But quickly growing wearisome of Hornigold's refusal to attack English ships, Bellamy called for a vote of no confidence, and the crew ousted Hornigold and Blackbeard by a majority vote, electing Bellamy as captain. Bellamy's prize flagship, Whydah Galley, discovered by underwater explorer Barry Clifford in 1984, is currently the world's only fully authenticated Golden Age pirate shipwreck ever found.";
222;Blackbeard (Edward Teach);1680–1718;1716–1718;England;With his fearsome appearance, Blackbeard is often credited with the creation of the stereotypical image of a pirate. Although his real name remains unknown, he began his pirate career as the first officer of Buccaneer-turned-pirate Captain Benjamin Hornigold of the Mary Anne. When a young crewman, Samuel Bellamy, called for a vote of no confidence in Hornigold for his refusal to attack English ships, the crew by a vote ousted Hornigold and Blackbeard, leaving the Mary Anne to Bellamy whom the crew elected their new captain.[24][27] His legend solidified after he took command of the Queen Anne's Revenge.[29];
223;Black Caesar;d. 1718;1700s–1718;Africa;A captured slave turned pirate, Black Caesar was a well-known pirate active off the Florida Keys during the early 18th century. He later acted as a lieutenant to Blackbeard and was one of five Africans serving on his flagship.[27];
224;Augustin Blanco;?;1700-1725;Cuba;He was noted for attacking in open boats, and for having a mixed-race crew.;
225;Richard Bobbington;d. 1697;1695–1696;Unknown;Active in the Red Sea, Indian Ocean, and Persian Gulf. Sailed with Thomas Tew's crew after Tew's death. One of several captains of the Charming Mary.;
226;Jean Bonadvis;?;1717–1720;France;"He is best known for his involvement with Benjamin Hornigold and ""Calico Jack"" Rackham.";
227;Stede Bonnet;1688–1718;1717–1718;Barbados;"Nicknamed ""The Gentleman Pirate"", Bonnet was born into a wealthy family before turning to piracy.[24][27]";
228;Anne Bonny;1698–1782;to 1725;Ireland;Despite never commanding a ship herself, Anne Bonny is remembered as one of few female historical pirates.[24][27][30];
229;George Booth;d. 1700;1696–1700;England;One of the earliest pirates active in the Indian Ocean and Red Sea.;
230;John Bowen;d. 1704;1700–1704;Bermuda;Was active in the Indian Ocean, his contemporaries included George Booth and Nathaniel North.;
231;Joseph Bradish;d. 1700;1698–1700;Unknown;A pirate best known for a single incident involving a mutiny.;
232;John Breholt;17th-18th Centuries;1697–-1711;England;Pirate and salvager active in the Caribbean, the Carolinas, and the Azores. He is best known for organizing several attempts to get the pirates of Madagascar to accept a pardon and bring their wealth home to England.;
233;Nicholas Brown;d. 1726;to 1726;England;Active off the coast of Jamaica, Brown was eventually killed – and his head pickled – by childhood friend John Drudge.;
234;Phineas Bunce;d. 1718;1717–1718;Unknown;Pirate active in the Caribbean. He was pardoned for piracy but reverted to it immediately afterwards and was killed by a Spanish pirate hunter.;
235;Nathaniel Burches;?;1705–1707;Unknown;A privateer who operated out of New England. He was known for sailing alongside Regnier Tongrelow and Thomas Penniston, and for single-handedly defeating a huge Spanish ship.;
236;"Josiah (""Thomas"") Burgess";1689–1719;1716–1719;England;"He is best known as one of the heads of New Providence's ""Flying Gang.""";
237;Samuel Burgess;1650–1716;1690–1708;England;Member of Captain William Kidd's crew in 1690 when the Blessed William was seized by Robert Culliford and some of the crew.;
238;William Burke (pirate);d. 1699;1699;Ireland;Pirate and trader active in the Caribbean and near Newfoundland, best known for aiding William Kidd.;
239;James Carnegie;?;1716;Unknown;Sailed in consort with Henry Jennings.;
240;Canoot;?;1698;France;French pirate active off the coast of New England.;
241;Dirk Chivers;early 18th century;1694–1699;Netherlands;Active in the Red Sea and Indian Ocean, Chivers later retired from piracy and returned to the Netherlands.[24];
242;Adrian Claver;?;1704–1705;Netherlands;A Dutch privateer based out of New England. He sailed alongside other prominent privateers such as John Halsey, Regnier Tongrelow, and Thomas Penniston.;
243;Edward Coates;?;1689–1694;Colonial America;A colonial American privateer in English service during the King William's War and later a pirate operating in the Red Sea and Indian Ocean during the mid-1690s.;
244;Thomas Cocklyn;early 18th century;1717 to death;England;Primarily known for his association with Howell Davis and Oliver La Buze, Cocklyn's activities after 1719 are unknown.[24][27];
245;John Cockram;?;1713–1718;England;Pirate, trader, and pirate hunter in the Caribbean, best known for his association with Benjamin Hornigold.;
246;John Cole (pirate);d. 1718;1718;England;Associated with Richard Worley and William Moody. He is known more for the unusual cargo of his pirate ship than for his piracy.;
247;Robert Colley;d. 1698;1695–1698;Colonial America;An American pirate active near Newfoundland and the Indian Ocean.;
248;Thomas Collins (pirate);d. 1719;1690s - 1719;Unknown;Active in the Indian Ocean. He is best known for leading a pirate settlement and trading post on Madagascar.;
249;Christopher Condent;d. 1770;1718–1720;England;"After entering into piracy in 1718, Condent later took a prize of £150,000 with his ship Fiery Dragon and retired to France, becoming a wealthy merchant.[24] Known by many names, including Condent, Congdon, Connor or Condell; and by given names including William, Christopher, Edmond or John.";
250;Joseph Cooper;d .1725;1718–1725;Colonial America;Active in the Caribbean and the American east coast. He was best known for sailing alongside Francis Spriggs, and for the manner of his death.;
251;William Coward;?;1689–1690;Unknown;A minor pirate active off the coast of Massachusetts. He is known for a single incident involving the seizure of one small vessel, largely thanks to events surrounding his trial.;
252;Captain Crapo;18th Century;1704–1708;France;French privateer active in the Caribbean and off the American east coast during the War of Spanish Succession. He was highly successful, capturing a large number of English vessels which he sent back to his home ports in Martinique and Port Royal.;
253;Mary Critchett;died 1729;1729;Colonial America;She is best known for being one of only four female pirates from the Golden Age of Piracy.;
254;Robert Culliford;early 18th century;1690–1698;England;The former first mate of William Kidd, Culliford led a first mutiny against Kidd, stealing his ship Blessed William.[24][27];
255;Alexander Dalzeel;1662–1715;1685–1715;Scotland;Served under Henry Every. Was captured four times before finally being hanged.;
256;Howell Davis;1690–1719;1718–1719;Wales;Having a career that lasted only 11 months, Davis was ambushed during an attempt to kidnap the governor of Príncipe.[24][27];
257;Captain Davy;early 18th Century;1704–1705;France;French privateer active off New England during Queen Anne's War. He is best known for repeatedly evading capture by rival English and Dutch privateers such as Adrian Claver and Thomas Penniston.;
258;Thomas Day;?;1697;Unknown;Pirate and privateer active off the American east coast. He is known for being one cause of increasing tensions between the Governors of Maryland and Pennsylvania.;
259;Robert Deal;d. 1721;1718–1721;England;He is best known for his association with Charles Vane.;
260;Nicholas de Concepcion;?;1720;Unknown;Pirate active off the New England coast. An escaped slave, he was one of the few black or mulatto pirate captains.;
261;Mathurin Desmarestz;1653–1700;1685–1697;France;French pirate and buccaneer active in the Caribbean, the Pacific, and the Indian Ocean.;
262;Etienne de Montauban;?;1691-1695;France;French flibustier (buccaneer), privateer, and pirate active in the Caribbean and off the west African coast. Frequently referred to as Sieur de Montauban (last name occasionally Montauband), he wrote an account of his later voyages including surviving a shipwreck.;
263;Francis Demont;?;1716–1717;Colonial America;Pirate active in the Caribbean. His trial was important in establishing Admiralty law in South Carolina.;
264;John Derdrake;?;Early 1700s;Denmark;"Known as ""Jack of the Baltic."" Danish pirate active in the 1700s. His story, if true, makes him one of the few pirates known to force his victims walk the plank.";
265;George Dew;1666–1703;1686–1695;England;He once sailed alongside William Kidd and Thomas Tew, and his career took him from Newfoundland to the Caribbean to the coast of Africa.;
266;Edward England;1690–1720;1717–1720;Ireland;Differing from many other pirates of his day, England did not kill captives unless necessary.[24][27];
267;John Evans;d. 1723;1722–1723;Wales;After an unsuccessful career as a legitimate sailor, Evans turned to piracy – initially raiding houses from a small canoe.;
268;Henry Every (Avery);1659–1699;1694–1699;England;Famous as one of the few pirates of the era who was able to retire with his takings without being either arrested or killed in battle.[24];
269;Joseph Faro;?;1694–1696;Colonial America;Active in the Indian Ocean. He is best known for sailing alongside Thomas Tew to join Henry Every's pirate fleet which captured and looted the fabulously rich Mughal ship Gunsway.;
270;John Fenn;d. 1723;to 1723;England;Sailed with Bartholomew Roberts and, later, Thomas Anstis.;
271;Lewis Ferdinando;?;1699–1700;Unknown;Active near Bermuda during the Golden Age of Piracy.;
272;Francis Fernando;?;1715–1716;Jamaica;Jamaican pirate and privateer active in the Caribbean. He was one of the few confirmed mixed-race Captains in the Golden Age of Piracy.;
273;James Fife;d. 1718;1718;Unknown;Active in the Caribbean. Murdered by forced men on his crew.;
274;William Fly;d. 1726;to 1726;England;Raided off the New England coast before being captured and hanged at Boston, Massachusetts.;
275;William Fox;?;1718–1723;Unknown;Pirate active in the Caribbean and off the African coast. He was indirectly associated with a number of more prominent pirates such as Bartholomew Roberts, Edward England, and Richard Taylor.;
276;Richard Frowd;?;1718–1719;England;He is best known for sailing with William Moody. He was one of a number of pirates to have both white and black sailors in his crew.;
277;Ingela Gathenhielm;1692–1729;1718–1721;Sweden;Widow of Lars Gathenhielm, active on the Baltic Sea.;
278;Lars Gathenhielm;1689–1718;1710–1718;Sweden;Active on the Baltic Sea;
279;Captain Gincks;?;1705–1706;Unknown;A privateer based in New York. He is best known for sailing alongside Adrian Claver, and for a violent incident involving his sailors while ashore.;
280;Richard Glover;d. 1698;1694–1698;Colonial America;A pirate and slave-trader active in the Caribbean and the Red Sea in the late 1690s.;
281;Robert Glover;d. 1698;1693–1698;Ireland / Colonial America;An Irish-American pirate active in the Red Sea area in the late 1690s.;
282;Christopher Goffe;?;1683–1691;Colonial America;A pirate and privateer active in the Red Sea and the Caribbean. He was eventually trusted to hunt down his former comrades.;
283;John Golden;d. 1698;1696–1698;England;A Jacobite pirate and privateer active in the waters near England and France. His trial was important in establishing Admiralty law, differentiating between privateers and pirates, and ending the naval ambitions of the deposed James II.;
284;Thomas Goldsmith;d. 1714;1714;England;Chiefly remembered not for his piracy but for retiring and dying peacefully in his bed, and for his gravestone inscription.;
285;Thomas Griffin (pirate);?;1691;Colonial America;A pirate and privateer active off New England. He is known for his association with George Dew.;
286;Captain Grinnaway;?;1718;Unknown;A pirate from Bermuda, best known for being briefly and indirectly involved with Edward Teach (or Thatch, alias Blackbeard).;
287;Nathaniel Grubing;17th Century;1692–1697;England;English pirate who sailed in service to the French. He is best known for leading several raids on Jamaica before his capture.;
288;Jean Baptiste Guedry;d. 1726;1726;Acadia;Took over a small ship off Acadia and was tried for piracy. The trial was publicized to Indians as an example of English law.;
289;Charles Harris;1698–1723;1722–1723;England;He is best known for his association with George Lowther and Edward Low.;
290;John Halsey;d. 1708;1705–1708;Colonial America;"Active in the Atlantic and Indian oceans, Halsey is remembered by Defoe as ""brave in his Person, courteous to all his Prisoners, lived beloved, and died regretted by his own People.""[24]";
291;Israel Hands;?;1700s–1718;Colonial America;Also known as Basilica Hands.[31]  He is best known for being second in command to Edward Teach, better known as Blackbeard. Hands' first historical mention was in 1718, when Blackbeard gave him command of David Herriot's ship Adventure after Herriot was captured by Teach in March 1718.[29];
292;Don Miguel Enríquez (Henríquez);1674–1743;1701–1735;Puerto Rico;"Although born a shoemaker, Enríquez was later awarded a letter of marque by Spain, going on to become knighted and gathering a fortune of over 500,000 pieces of eight.[26] Considered the ""most accomplished"" of the Hispanic privateers.[32]";
293;David Herriot;?;1700s–1718;Jamaica;Captain of the Jamaican sloop Adventure, captured by Edward Teach, alias Blackbeard, in 1718. He joined Blackbeard's crew, and later when Stede Bonnet separated from Blackbeard, Herriott became his sailing master.  During the Battle of Cape Fear River Herriott was taken by Col. Rhet, of the sloop Royal James, on September 27, 1718.[33]  Herriott and boatswain, Ignatius Pell, turned King's evidence at their trial but escaped their Charleston prison on October 25. Herriott was shot and killed on Sullivan Island a few days later.[29];
294;John Hoar;d. 1697;1694–1697;Colonial America;A pirate and privateer active in the late 1690s in the Red Sea area.;
295;Benjamin Hornigold;1680–1719;1717–1719;England;Known for being less aggressive than other pirates, Hornigold once captured a ship for the sole purpose of seizing the crew's hats.[24][27];
296;Thomas Howard;early 18th century;1698–1703;England;Howard served under both George Booth and John Bowen and later commanded the Prosperous.;
297;Samuel Inless;?;1698–1699;Unknown;Active in the Indian Ocean, best known for serving as Captain over Nathaniel North and George Booth.;
298;John Ireland;?;1694–1701;Colonial America;A pirate active in the Indian Ocean. He is best known for sailing with Thomas Tew. One of several captains of the Charming Mary.;
299;John James;?;1699-1700;Wales;A Welsh pirate active near Madagascar, Nassau, and the American east coast.;
300;Henry Jennings;d. 1745;1715;England;"Jennings was a later governor of the pirate haven of New Providence.[24] Although the Governor of Jamaica personally commissioned Jennings' privateering in 1715,[34] after Jennings' began attacking salvage camps and Spanish, English and French vessels,[35] Jennings was declared a pirate in April 1716.[36] Jennings and his fleet of pirates and privateers subsequently moved to Nassau.[36] Jennings was one of 400 pirates who took advantage of the British amnesty in 1718, and afterwards retired to Bermuda to live the rest of his life ""as a wealthy, respected member of society.""[37]";
301;Henry Johnson;?;1730;Ireland;Irish pirate active in the Caribbean. He shared captaincy with a Spaniard, Pedro Poleas. Johnson was best known thanks to an autobiography written by a sailor he captured and marooned.;
302;Evan Jones;?;1698–1699;Wales;Welsh-born pirate from New York active in the Indian Ocean, best known for his indirect connection to Robert Culliford and for capturing a future Mayor of New York.;
303;John Julian;d. 1733;1716–1717;Miskito origins;Recorded as the first black pirate to operate in the New World.[27];
304;James Kelly (James Gilliam);d. 1701;to 1699;England;Active in the Indian Ocean, Kelly was a long-time associate of William Kidd.;
305;"William ""Captain"" Kidd";1645–1701;1695–1699;Scotland;Although modern historians dispute the legitimacy of his trial and execution, the rumor of Captain Kidd's buried treasure has served only to build a legend around the man as a great pirate.  His property was claimed by the crown and given to the Royal Hospital, Greenwich, by Queen Anne.[24][27][38][39][40][41];
306;Henry King (pirate);?;1700;Unknown;He is best known for attacking the slave ship John Hopewell, whose captured crew turned the tables and took his ship from him.;
307;John King (pirate);c. 1706/9–1717;1716–1717;England;Although not ever a captain, King joined the crew of Sam Bellamy when they boarded the ship he was on, and is one of the youngest known pirates on record. His age is disputed at anywhere from 8–11 years.;
308;Montigny la Palisse;?;1720–1721;France;Sailed in consort with Bartholomew Roberts.;
309;Robert Lane;d. 1719;1719;Unknown;Was given command of a prize ship by Edward England, which was lost off Brazil with all hands.;
310;Thomas Larimore;?;1677–1706;Colonial America;Active in the Caribbean and off the eastern seaboard of the American colonies. After helping suppress Bacon's Rebellion and serving as a militia leader he turned to piracy, operating alongside John Quelch.;
311;Peter Lawrence;?;1693–1705;Netherlands;Dutch pirate and privateer active off New England and Newfoundland, and in the Caribbean. His and other pirates' dealings with Rhode Island's governors nearly led to the colony losing its charter.;
312;"John Leadstone / ""Old Captain Crackers""";?;1704–1721;Unknown;"A pirate and slaver active off the west coast of Africa. Often called ""Captain Crackers"" or ""Old Captain Cracker,"" he is best known for his actions against the English Royal African Company and for his brief involvement with Bartholomew Roberts.";
313;Francois Le Sage;d. 1694;1682–1694;France or Netherlands;Pirate and buccaneer active in the Caribbean and off the coast of Africa. He is primarily associated with fellow buccaneers Michiel Andrieszoon and Laurens de Graaf.;
314;Francis Leslie (pirate);?;1717–1718;England;"He is best known as one of the leaders of the ""Flying Gang"" of pirates operating out of New Providence.";
315;Olivier Levasseur (Oliver La Buse);1688–1730;1716–1730;France;"Nicknamed ""la Buse"" (the Buzzard) for the speed with which he attacked his targets, Levasseur left behind a cryptic message that has yet to be deciphered fully today.[24][27]";
316;Samuel Liddell;?;1716;Unknown;A pirate, privateer, and merchant active in the Caribbean. He is best known for sailing alongside Henry Jennings.;
317;"Edward ""Ned"" Low";1690–1724;1721–1724;England;"A pirate known for his vicious torture, his methods were described as having ""done credit to the ingenuity of the Spanish Inquisition in its darkest days"".[24][27]";
318;George Lowther;d. 1723;to 1723;England;Active in the Caribbean and the Atlantic, one of Lowther's lieutenants included Edward Low.[24][27];
319;Matthew Luke (Matteo Luca);d. 1722;1722;Italy;A pirate and Spanish Guarda Costa active in the Caribbean.;
320;Philip Lyne;d. 1726;1725–1726;Unknown;Known for his cruelty and his association with Francis Spriggs.;
321;John Martel;?;1716–1718;England;English pirate active in the Caribbean.;
322;Simon Mascarino;?;1701–1721;Portugal;A Portuguese pirate active in the Caribbean. He was also a privateer in service of the Spanish.;
323;William May;?;1689–1700;Unknown;Active in the Indian Ocean. He was best known for taking over William Kidd's ship Blessed William and sailing with Henry Every.;
324;Edward Miller;?;1718–1720;England;English pirate active in the Caribbean.;
325;Christopher Moody;d. 1718;1713–1718;England;Active off North and South Carolina, Moody offered no quarter to captured crews, signified by his flying of a red standard.[27] Often conflated with William Moody.;
326;William Moody (pirate);d. 1718;1717–1718;England;He is best known for his association with Olivier Levasseur and Thomas Cocklyn, crewmembers who succeeded him as Captains in their own right. Often conflated with Christopher Moody.;
