1;Vincenzo Alessandri;d. 1657;;Italy;Originally a Knight of Malta, Alessandri was captured and enslaved.[citation needed];
327;Captain Napin;?;1717–1718;Unknown;A pirate active in the Caribbean and off the American east coast. He is best known for sailing alongside Benjamin Hornigold.;
328;Thomas Nichols (pirate);?;1717–1718;Unknown;"A pirate active in the Caribbean and off the American east coast. He is best known as a leader among the ""Flying Gang"" of pirates operating out of New Providence.";
329;Richard Noland;?;1717–1724;Ireland;He was best known for sailing with Samuel Bellamy before working for the Spanish.;
330;John Norcross;1688–1758;1715–1727;England;English Jacobite pirate and privateer who sailed in service to Sweden.;
331;Nathaniel North;b. 1672;1689–1709;Bermuda;Active in the Indian Ocean and Red Sea, North served with other famous contemporaries, including John Bowen and George Booth.;
332;Amaro Pargo;1678–1695;1703–1737;Spain;He was one of the most famous pirates of the golden age of piracy, and one of the most important personalities of the 18th century of Spain.;
333;Major Penner;?;1718;Unknown;"Pirate captain active in the Caribbean. Kept his title of ""Major"" instead of ""Captain.""";
334;Thomas Penniston;d. 1706;1704–1706;Unknown;A privateer who operated out of New England. He was known for sailing alongside Adrian Claver and Regnier Tongrelow.;
335;James Plantain;early 18th century;1725–1728;Jamaica;"Plantain ruled the island of Madagascar between 1725 and 1728, primarily through fear, and was known as the ""King of Ranter Bay"".[24]";
336;Daniel Porter;?;1718–1721;Unknown;Pirate and trader active in the Caribbean. He is best known for his associations with Benjamin Hornigold and Bartholomew Roberts.;
337;John Prie;d. 1727;1727;Unknown;A mutineer and minor pirate in the Caribbean.;
338;John Pro;d. 1719;1690s–1719;Netherlands;Best known for leading a pirate trading post near Madagascar.;
339;John Quelch;1666–1704;1703–1704;England;Quelch was the first person tried for piracy outside England under Admiralty Law and therefore without a jury.;
340;"""Calico Jack"" John Rackham";1682–1720;to 1720;England;Earned his nickname for the colourful calico clothes that he wore.[24][27];
341;George Raynor;1665–1743;1683–1694;Colonial America;Active in the Red Sea. Before he was briefly a pirate captain, he was a sailor on the Batchelor's Delight which circumnavigated the globe with William Dampier.;
342;Mary Read;1690–1721;to 1720;England;Along with Anne Bonny, one of few female historical pirates. When captured, Read escaped hanging by claiming she was pregnant, but died soon after of a fever while still in prison.[24][27];
343;William Read (pirate);d. 1701;1701;England;Active in the Indian Ocean near Madagascar. He is best known for rescuing fellow pirate captains John Bowen and Thomas White.;
344;Lieutenant Richards (pirate);?;1718;Unknown;Active in the Caribbean and off the Carolinas. He is best known for sailing alongside Blackbeard (Edward Teach / Thatch).;
345;John Rivers (pirate);d. 1719;1686–1719;England;A pirate best known for leading a settlement and trading post on Madagascar.;
346;Bartholomew Roberts (Black Bart);1682–1722;1719–1722;Wales;The most successful pirate of the Golden Age of Piracy, estimated to have captured more than 470 vessels.[24][27][42];
347;Philip Roche (pirate);1693–1723;1721;Ireland;Active in the seas of northern Europe, best known for murdering the crews and captains of ships he and his men took over.;
348;Tempest Rogers;1672–1704;1693–1699;England;A pirate trader active in the Caribbean and off Madagascar. He is best known for his association with William Kidd.;
349;Woodes Rogers;1679–1732;1709–1710;England;Played a major role in the suppression of pirates in the Caribbean.[24][27][43];
350;John Russell;18th Century;1722-1723;Unknown;Pirate active from Nova Scotia to the Caribbean to the African coast. He is best known for his association with Edward Low and Francis Spriggs, and for his involvement with two well-known and well-documented maroonings.;
351;Jasper Seagar;d. 1721;1719–1721;England;Active in the Indian Ocean, best known for sailing with Edward England, Olivier Levasseur, and Richard Taylor.;
352;Robert Semple (Richard Sample);d. 1719;1719;Unknown;Was given command of a prize ship by Edward England, which was run ashore and captured off Brazil.;
353;Richard Shipton;d. 1726;1723–1726;Unknown;Active in the Caribbean, best known for sailing alongside Edward Low and Francis Spriggs.;
354;James Skyrme;d. 1722;1720–1722;Wales;A Welsh pirate best known for Captaining two of Bartholomew Roberts' prize ships.;
355;Francis Spriggs;d. 1725;to 1725;England;Along with George Lowther and Edward Low, Spriggs was primarily active in the Bay of Honduras during the early 1720s.;
356;Daniel Stillwell;?;1715–1718;England;A minor pirate in the Caribbean, best known for his association with Benjamin Hornigold.;
357;Ralph Stout;d. 1697;1692–1697;Unknown;Active in the Indian Ocean. He is best known for rescuing fellow pirate Robert Culliford after each of them spent separate 4-year periods in Mughal Empire prisons.;
358;Thomas Sutton;1699–1722;1719–1722;Scotland;Active off the coast of Africa. He was best known for sailing alongside Bartholomew Roberts.;
359;John Swann (pirate);?;1698–1699;Unknown;A minor pirate in the Indian Ocean, known almost entirely for speculation about his relationship with Robert Culliford.;
360;John Taylor;early 18th century;;England;At Reunion Island, Taylor is reputed to have captured the most valuable prize in pirate history.[24];
361;Thomas Tew;d. 1695;1692–1695;England;Despite only going on two pirate voyages, Tew pioneered a route later known as the Pirate Round.[24][27];
362;Captain Thompson;d. 1719;1719;Cuba;Active in the Caribbean. He is primarily known for a single incident involving grenades.;
363;John Thurber;1649–1717 (or 1625–1705);1685–1693;Unknown;Last name also Churcher, he was a pirate trader and slaver active off Madagascar. He is best known for his role in introducing rice to America as a staple crop and export commodity.;
364;Regnier Tongrelow;?;1704–1705;France or Netherlands;A prolific privateer who operated out of New England. He captured a large number of ships over a short career, sending most back to New York, and was known for attacking the largest ships he could find.;
365;Richard Tookerman;1691–1723;1718–1723;England;As a pirate, smuggler, and trader active in the Caribbean and the Carolinas, he became best known for involvement with pirates Stede Bonnet and Bartholomew Roberts.;
366;Turn Joe;?;1717;Ireland;Irish pirate and privateer who left English service and sailed for Spain instead as a guarda costa privateer in the Caribbean.;
367;Charles Vane;1680–1721;1716–1721;England;Disliked due to his cruelty, Vane showed little respect for the pirate code, cheating his crew out of their shares in the takings.[24][27];
368;Hendrick van Hoven;d. 1699;1698–1699;Netherlands;"A buccaneer and pirate active in the Caribbean. He was known as ""the grand pirate of the West Indies.""";
369;John Vidal;?;1727;Ireland / Colonial America;A minor Irish-American pirate briefly active near Ocracoke Inlet off North Carolina. He is best known for bringing the Farley family with him, causing Martha Farley to be one of the few women tried for piracy.;
370;Thomas Wake;d. 1696;1694–1696;Colonial America;Best known for sailing alongside Thomas Tew to join Henry Every in the Indian Ocean, hunting the Moghul treasure fleet.;
371;Richard Want;?;1692–1696;Colonial America;Active in the Indian Ocean. He is best known for sailing alongside Thomas Tew and Henry Every.;
372;Brigstock Weaver;?;1720–1725;Unknown;He is best known for his association with fellow pirates Thomas Anstis and Bartholomew Roberts.;
373;John West (pirate);?;1713–1714;Unknown;A minor pirate in the Caribbean, best known for his association with Benjamin Hornigold.;
374;Joseph Wheeler (pirate);?;1696–1698;Unknown;He is best known for sailing alongside Dirk Chivers and Robert Culliford.;
375;Thomas White (pirate);d. 1708;d. 1708;;He was only briefly a captain on his own but served under several more prominent captains such as George Booth, John Bowen, Thomas Howard, John Halsey, and Nathaniel North.;
376;David Williams (pirate);d. 1709;1698–1709;Wales;Welsh sailor who turned pirate after being abandoned on Madagascar. He was only briefly a Captain, and is best known for sailing under a number of more prominent pirate captains.;
377;Paulsgrave Williams;?;1716–1723;Colonial America;A pirate who sailed the Caribbean, American eastern seaboard, and off West Africa. He is best known for sailing alongside Samuel Bellamy.;
378;Christopher Winter;?;1716–1723;England;English pirate active in the Caribbean. He is best known for sailing in Spanish service and launching the career of Edward England.;
379;Nicholas Woodall;?;1718;Unknown;He is best known for his involvement with Charles Vane and Benjamin Hornigold.;
380;Edward Woodman;?;1692–1706;Colonial America;A pirate active in the Indian Ocean and the Caribbean.;
381;Richard Worley;d. 1719;to 1719;England;Credited as one of the first pirates to fly the skull and crossbones pirate flag.[24];
382;Emanuel Wynn;early 18th century;;France;"Was the first pirate to fly the ""skull and crossbones"" Jolly Roger. His design also incorporated an hourglass below the skull.[24]";
383;Charles Yeats;?;1718;Unknown;He is best known for sailing alongside and then abandoning Charles Vane.;
384;Peter Alston;1765–1804;1797–1804;United States;River pirate, highwayman, and counterfeiter, son of counterfeiter;
385;Philip Alston;1740 or 1741–after 1799;1770?–1799?;United States;River pirate and counterfeiter, an associate of the counterfeiter John Duff and father of river pirate, highwayman, and counterfeiter, Peter Alston.;
386;François Aregnaudeau;1774–1813;1810–1821;France;Breton who commanded a number of privateers, most notably Blonde, and Duc de Dantzig. In them he captured numerous prizes. He and Duc de Dantzig disappeared without at trace around the end of 1812. Their disappearance gave rise to an unsubstantiated gruesome ghost ship legend.;
387;Louis-Michel Aury;1788–1821;1810–1821;France;French privateer, served to the Republics of Venezuela and Mexico.;
388;Joseph Baker;d. 1800;1800;Canada;The single piratical action of his career consisted of an unsuccessful attempt to commandeer the sloop Eliza.[44];
389;Renato Beluche;1780–1860;1803–1823;Louisiana, New Spain;A known associate of the Lafitte Brothers active in the Caribbean before joining Simon Bolivar army in his fight for South American independence.;
390;Hippolyte Bouchard;1780–1843;1817–1819;France;A French and Argentine sailor who fought for Argentina, Chile and Peru.[45];
391;Luis Brion de Trox;1782–1821;1806–1821;Curazao;Dutch privateer, served to the Republics of Venezuela and Great Colombia.;
392;Flora Burn;fl. 1741;1740s–1750s;England;Female pirate active mainly off the East coast of North America from 1741.;
393;Cabeza de Perro;1800 - ?;?;Spain;Was a Spanish pirate. His physical characteristics earned him his nickname, which translates to Dog Head.;
394;Henri Caesar;early 19th century;1805–1830;Haiti;Haitian pirate supposedly active in the Caribbean during the early 19th century. Historical existence is doubtful.;
395;Eric Cobham and Maria Lindsey;1700–1760;1720s–1740s;England;Cobham and his wife, Maria, were primarily active in the Gulf of St. Lawrence.;
396;James Copeland;1823-1857;1830s-1857;United States;A leader of a gang of pirates, smugglers, and outlaws in southern Mississippi and southern Alabama, around Mobile, known as the Wages and Copeland Clan.;
397;Richard Coyle;d. 1738;1738;England;He is known for a single incident involving the murder of the Captain of the ship St. John.;
398;Jacob Pettersson Degenaar;1692-1766;1740s;Sweden;;
399;Sadie Farrell (Sadie The Goat);?;1869;United States;An Irish American New York City river pirate and the criminal leader of the Charlton Street Gang in 1869.;
400;James Ford;1770?–1833;1799?-1833;United States;"A civic leader and business owner in western Kentucky and southern Illinois, secretly, was the leader of a gang of river pirates and highwaymen, along the Ohio River, known as the ""Ford's Ferry Gang.""";
401;Hezekiah Frith;Early 19th century;1790s–1800s;Bermuda;"British ship owner and smuggler known as Bermuda's ""gentleman privateer"". Alleged to have used his business as a cover to withhold cargo sized in privateering expeditions and amass a small fortune.";
402;Vincent Gambi;d. 1820;;Italy;A pirate based out of New Orleans, he was an associate of Jean Lafitte.;
403;José Gaspar (Gasparilla);1756–1821;1783–1821;Spain;Spanish naval officer who turned to piracy and operated from a base in southwest Florida. Although Gaspar is a popular figure in local folklore and was the inspiration for Tampa's Gasparilla Pirate Festival, there is no evidence of his existence.[46];
404;Leoncio Prado Gutiérrez;1853–1883;1876-1877;Peru;Prado a Peruvian mariner with Cuban revolutionaries seized the Spanish ship Moctezuma in the Caribbean sea at North of La Hispaniola. Renamed as Cespedes failed to liberate Cuba under Spanish rule. Realizing how the ship remained in the hands of the royalist navy, Prado ordered his men to leave and lit a barrel of gunpowder inside of the ammunition storage facilities.;
405;Catherine Hagerty and Charlotte Badger;early 19th century;1806;England;Australian convicts. Among a group of convicts taken on board a shorthanded ship as crew. The convicts commandeered the ship and sailed for New Zealand. Hagerty was put ashore and died, Badger was never seen again.[47];
406;Micajah and Wiley Harpe;Before 1768–1799 (Micajah)Before 1770–1799 (Wiley);1775?–1799 (Micajah)1775?–1804 (Wiley);United States;America's first known serial killers, were Loyalists in the American Revolution, as well as, river pirates and highwaymen, who preyed on travelers along the Ohio River and the waterways of Tennessee, Kentucky, and Illinois. The Harpe Brothers were associates of Samuel Mason and Peter Alston.;
407;Pugsy Hurley;1846-after 1886;1865?-after 1886;United States;English-born American burglar, river pirate and underworld figure in New York City during the mid-to late 19th century. An old time thief from the old Seventh Ward, he was also a well-known waterfront thug whose criminal career lasted over two decades. He especially gained notoriety as a member of the Patsy Conroy Gang.;
408;Rahmah ibn Jabir al-Jalahimah;1760–1826;1780–1826;Kuwait;The most famous pirate in the Persian Gulf, he ruled over Qatar and Dammam for short periods and fought alongside the Wahhabis against the Al-Khalifa tribe of Bahrain.[48];
409;Bill Johnston;1782–1870;1810–1860;United States;"Nicknamed ""Pirate of the Thousand Islands"".";
410;Edward Jordan;1771–1809;1794–1809;Canada;Irish rebel, fisherman and pirate of Nova Scotia.;
411;Jorgen Jorgensen;1780–1841;1807–1808;Denmark;Danish adventurer and writer, he was captured by the British as a privateer during the Napoleonic Wars.[49];
412;Jean Lafitte;c. 1776–1826?;1803–18151817–1820s;France;French pirate (or privateer) active in the Gulf of Mexico during the early 1800s. A wanted fugitive by the United States, he later participated, during the War of 1812, in the Battle of New Orleans on the side of Andrew Jackson and the Americans. In 1822, Lafitte approached the navy of Gran Colombia and Simon Bolivar granted a commission and given a new ship, a 40-ton schooner named General Santander.;
413;Pierre Lafitte;1770–1821;1803–1821;France;French pirate, and lesser-known brother of Jean Lafitte, active mainly in the Gulf of Mexico.;
414;Narciso Lopez;1797–1851;1850–1851;Venezuela;Venezuelan adventurer, enlisted in United States about six hundred filibusters and successfully reached Cuba in May 1850 to liberate the island from Spanish Crown rule. His troops took the town of Cárdenas, carrying a flag that López had designed, which later became the banner of modern Cuba. After another failed attempt to free Cuba he was executed in Havana by the royalists in 1851.;
415;Sam Hall Lord;1778–1844;1800s–1840s;Barbados;Sam Lord was one of the most famous buccaneers on the island of Barbados.;
416;Kazimierz Lux;1780–1846;1803–1819;Poland;"The Polish Pirates of the Caribbean. After pacifying the slave rebellion in Haiti, Lux started a career of piracy - shooting and boarding an American brig was one of his more spectacular successes; the vessel was later sold for 20 000 francs in Havana.[clarification needed]";
417;Gregor MacGregor;1786–1845;1810–1830;Scotland;Adventurer, land speculator, and colonizer who fought in Venezuela and New Granada struggle for independence. In 1817, led an army of only 150 men in an assault on Amelia Island, Florida. After his return to Britain in 1820, he claimed to be cacique of Poyais a fictional Central American country that MacGregor had invented which, with his promotional efforts, drew investors and eventually colonists.;
418;Francisco de Miranda;1750–1816;1806;Venezuela;Venezuelan militar and adventurer, who organized in 1806 two private filibustering expeditions from New York and Trinidad with the intention of liberate Venezuela under Spanish rule since XVI siecle. On April 28 of 1806 the small fleet was overtaken by Spanish warships off the coast of Venezuela. Only the Leander escaped.  The Backus and Bee were captured with all the revolutionaries. Sixty men were put on trial for piracy and Ten were sentenced to death in Puerto Cabello. The Leander and the expeditionary force regrouped on the British islands of Barbados and Trinidad, assisted by HMS Lilly. The new expedition landed at La Vela de Coro on August 3, captured the fort and raised the tricolor flag for the first time on Venezuelan soil. Before dawn the next morning the expeditionaries occupied Coro, but found no support from the city residents and Miranda returned to England.;
419;Samuel Mason;1739–1803;to 1803;United States;Initially, a Revolutionary War Patriot captain in the Ohio County, Virginia militia and an associate judge and squire in Kentucky, Mason later, ran a gang of highway robbers and waterways river pirates.;
420;John A. Murrell;1806?–1844;to 1834;United States;"Near-legendary bandit, known as the ""Great Western Land Pirate,"" ran a gang of river pirates and highwaymen along the Mississippi River.";
421;Robert Surcouf;1779-1823;1789–1808;France;French privateer and slave trader who operated in the Indian Ocean between 1789 and 1801, and again from 1807 to 1808, capturing over 40 prizes, while amassing a large fortune as a ship-owner, both from privateering and from commerce.;
422;Rachel Wall;1760-1789;1781–1782;Province of Pennsylvania;Rachel and her husband George Wall were active off the New Hampshire coast until George and the crew were washed out to sea. She was hanged in Boston on 8 October 1789.;
423;William Walker;1824–1860;1852–1860;United States;American lawyer, journalist and adventurer, who organized several private military expeditions into Latin America, with the intention of establishing English-speaking colonies under his personal control. Walker became president of the Republic of Nicaragua in 1856 and ruled until 1857, when he was defeated by a coalition of Central American armies. He was executed in Trujillo by the government of Honduras in 1860.;
424;Alexander White;d. 1784;fl. 1784;East Coast of America;Hanged for piracy in Cambridge, Massachusetts in November 1784.[citation needed];
425;Dominique You;1775–1830;1802–1814;Haiti;Acquired a reputation for daring as a pirate. Retired to become a politician in New Orleans.;
426;Asad 'Booyah' Abdulahi;1966–;1998–;Somalia;Somali pirate boss, active in capturing ships in the Gulf of Aden and Indian Ocean for ransoms.[60];
427;Román Delgado Chalbaud;1882–1929;1929;Venezuela;On 11 August 1929 Delgado Chalbaud led the steamship Falke, (renamed General Anzoátegui for the occasion) into Cumaná  in a failed attempt to overthrow Venezuelan dictator Juan Vicente Gomez. After landing in Cumana the expeditionary force of 250-300 men soon ran into problems by government troops. Delgado was killed on the first day, and on 24 August, the leaders of the expedition surrendered.[61][62] Venezuela's roving diplomat in Europe, José Ignacio Cárdenas, had reported on the planned expedition, which helped defeat it.[63];
428;Rafael de Nogales Méndez;1879–1936;1902;Venezuela;With the support of president Zelaya of Nicaragua, Nogales participated in a failed attempt to overthrow Venezuelan dictator Cipriano Castro involving an expedition aboard of schooner La Libertad. The forces landed in La Guajira peninsula but were defeated by general Antonio Davila in Carazua.;
429;Paul del Rio;1943–2015;1963;Venezuela;On 13 February 1963 Paul del Rio at the age of 19 was the leader of a Venezuelan revolutionary group of the Armed Forces of National Liberation that seized the Venezuelan cargo ship Anzoategui in the Caribbean, in a failed attempt to overthrow the president Romulo Betancourt. Involving 25 men the ship was hauled off to Brazilian coast evading both the Venezuelan Navy and the U.S. Navy.;
430;Henrique Galvão;1895–1970;1961;Portugal;On January 22, 1961, Henrique Galvão led the Santa Maria hijacking, also known as Operation Dulcinea.  The Portuguese revolutionaries isolated the vessel by cutting off all communication, and killed one officer and wounded several others. Galvão used the hijacking to send radio broadcasts from the ship calling attention to his concerns and views on what he characterized as the president Salazar regime of fascism. The liner evaded both the U.S. Navy and British Royal Navy for eleven days before docking safely at Recife, Brazil.;
431;Abdul Hassan;1969–;2005–;Somalia;"Somali pirate nicknamed ""the one who never sleeps"". Leader of the 350-men strong group ""Central Regional Coast Guard"", active in capturing ships for ransoms.[64][65][66]";
432;Felix von Luckner;1881–1966;1916–1917;Germany;German navy officer nobleman privateer who the epithet Der Seeteufel (the Sea-Devil) -- and his crew that of Die Piraten des Kaisers (the Emperor's Pirates) -- for his exploits in command of the sailing commerce raider SMS Seeadler (Sea Eagle) in 1916–17, during World War I.;
433;Manuel Antonio Matos;1847–1929;1902–1903;Venezuela;With the support of the New York & Bermudez Company and Orinoco Steamship Company, in 1901 Matos participated in a failed Revolution to overthrow Venezuelan dictator Cipriano Castro involving an expedition from Trinidad aboard of steamship Bay Righ with men, weapons, ammunition for the revolutionary army. The forces landed in Coro, Paraguana peninsula, but were defeated in La Victoria by government forces on November 2, 1902.;
434;Gustavo Machado Morales;1898–1987;1929;Venezuela;Participated in Rafael Simón Urbina 's June 1929 taking of Fort Amsterdam in Curaçao, in another failed attempt to overthrow dictator Juan Vicente Gómez involving 250 men.[61] This attempt involved the kidnapping of the governor of Curaçao, Leonardus Albert Fruytier[61] who was hauled off to invade Venezuela on the stolen American ship Maracaibo.[61] After this raid was defeated by Gómez forces he went into exile in Colombia with Urbina and others revolutionaries.;
435;Abduwali Muse;1990–;2008–2009;Somalia;On 16 February 2011, Muse was a defendant in the first piracy trial in the United States in almost two centuries.;
436;Peter de Neumann;1917–1972;21 June 1941;United Kingdom;"Second Officer aboard the RN prize vessel Criton (captured from the Vichy French).  Widely known as ""The Man From Timbuctoo"".[67][68]";
437;"""Roaring"" Dan Seavey";1865–1949;1900–1930;United States;"Active as a ""Timber Pirate"", ""Lake Pirate"", and ""Great Lakes Pirate"", in Wisconsin and Michigan, on the Great Lakes.";
438;Boysie Singh;1908–1957;1947–1956;Trinidad;Active in the waters between Venezuela and Trinidad. Singh commonly attacked fishing boats, killing the crew and stealing the boat engine, before sinking the boat and selling the engine.[69];
439;Rafael Simón Urbina;1897–1952;1929–1931;Venezuela;Participated in Gustavo Machado Morales 's June 1929 taking of Fort Amsterdam in Curaçao, involving 250 men.[61] This attempt involved the kidnapping of the governor of Curaçao, Leonardus Albert Fruytier who was hauled off to invade Venezuela on the stolen American steamship Maracaibo to overthrow the dictatorship of general Gomez .[61] After this raid was defeated by troops conducted by Leon Jurado and he went into exile in Colombia with Machado and others revolutionaries.[61] In October 1931, aboard of the stolen American tanker Progresso with 137 Mexican braceros and 8 Venezuelans, it landing at Puerto Gutiérrez and takes Capatárida being defeated once more by the troops of the general Leon Jurado, before which he fled the country again.;
440;Nathaniel Gordon;1826–1862;1860;United States;"The first and only American slave trader to be tried, convicted, and executed ""for being engaged in the Slave Trade"" in accordance with the Piracy Law of 1820.[57]";
441;Bully Hayes;1829–1877;1850–1877;United States;"The Pirate of the South Sea, was a notorious blackbirder in the South Pacific, and was described as ""the last of the Buccaneers"".";
442;Albert W. Hicks;1820–1860;1860;United States;New York waterfront thug who killed the 3-man crew of an oyster sloop after being shanghaied. He was the last man hung for piracy in the United States.;
443;"James ""Shanghai"" Kelly";1830–1892;1850–1870;United States;"A legendary figure in San Francisco history who owned several boarding houses and saloons, Kelly was renowned for his ability to supply men to understaffed ships. He was reported to have shanghaied 100 men for three ships in a single evening, by hosting a free booze cruise to celebrate his ""birthday"", then serving opium-laced whiskey to knock out his guests.[58]";
444;"Joseph ""Bunko"" Kelly";d. aft. 1908;1879–1894;England;"The ""King of the Crimps"" in Portland, Oregon, he shanghaiied over 2,000 men in all. In 1893, he delivered 20+ men who had mistakenly consumed embalming fluid from the open cellar of a mortuary. The ship sailed off before the captain realized most of the men were dead.[59]";
445;Ben Pease;1837–1870;1860–1870;United States;A New England sea captain who kidnapped Pacific Islanders aboard the Pioneer, providing labor for the plantations of Fiji. When Bully Hayes was arrested for piracy in Samoa,  Pease helped him to escape.  When next the Pioneer returned to port,  Hayes was at the helm, and was rumored to have killed Pease during a fight.;
446;Tuanku Abbas;early 19th century;to 1844;Malay Archipelago;The brother of a rajah of Achin, known for his sponsoring and leading of pirate raids.;
447;Eli Boggs;1810–1857;1830–1857;United States;Pirate who sailed in Chinese junk for smuggling.;
448;Cheng I;d. 1807;to 1807;China;A pirate on the Chinese coast in the 18h and 19th centuries.;
449;Cheung Po Tsai;early 19th century;to 1810;China;Active along the Guangdong coast and is said to have commanded a fleet of 600 junks.;
450;Ching Shih;d. 1844;1807–1810;China;A prominent female pirate in late Qing China.;
451;Chui A-poo;d. 1851?;1840s–1850;China;Based in Bias Bay east of Hong Kong, Chui preyed on opium ships in the South China Sea until his fleet was destroyed by the British in 1849.[55];
452;Abdulla al-Hadj;d. 1843;1800s;England/Arabia;English pirate primarily known for his activity in the South China Sea[56];
453;Shap Ng-tsai;fl. 1840s;1845–1849;China;Commanded around 70 junks in the South China Sea before retiring and accepting a pardon from the Chinese government.;
454;Mansel Alcantra (Alcantara);fl. 1829;1820s;Spain;In 1829, he captured the Topaz off St. Helena and had the entire crew murdered.;
455;Roberto Cofresí;1791–1825;1818–1825;Puerto Rico;"Considered the ""last of the [successful] West India pirates"", Cofresí avoided capture by the navies of six nations (including Naval powers Spain and Britain) for years and became the final target of the West Indies Anti-Piracy Operations.[50] After being captured by the Puerto Rican militia, he claimed to have a stash of 4,000 pieces of eight hidden, which he tried to use as a bribe.[51]";
456;Diabolito (Little Devil);d. 1823;;Cuba;Cuban-born pirate active in the Caribbean during the early 19th century. He was one of the first pirates to be hunted down by Commodore David Porter and the Mosquito Fleet during the early 1820s.;
457;Charles Gibbs;1798–1831;1816–1831;United States;One of the last pirates active in the Caribbean, and one of the last people executed for piracy by the United States.[52];
458;"""Don"" Pedro Gilbert";1800–1834;1832–1834;Colombia;Took part in the last recorded incident of piracy in Atlantic waters.[53][54];
459;Benito de Soto;1805–1830;1827–1830;Spain;The most notorious of the last generation to attack shipping on the Atlantic Ocean.;
460;Jacque Alexander Tardy;1767–1827;1817–1827;France;;
461;Anicetus;d. 69;;Pontus (Hellenic);Was the leader of an unsuccessful anti-Roman uprising in Pontus in 69 AD.;
462;Demetrius of Pharos;d. 214 BC;;Pharos (Hellenic);His actions precipitated the Second Illyrian War.;
463;Dionysius the Phocaean;fl. 494 BC;494 BC;Greece;Phocaean admiral active against Carthaginian and Tyrsenian merchants in the years following the Greco–Persian Wars.;
464;Gan Ning;fl. 180s–210s;190–197;China;His party carried bells as their trademark to frighten the commoners.;
465;Genthus of Illyria;fl. 181–168 BC;;Illyria;Was accused by the Romans of organizing and aiding pirate raids in Italy.;
466;Glauketas;fl. 315–300 BC;315–300 BC;;"Greek inscriptions of the Athenian navy raiding his base on Kynthnos Island and capturing him and his men, ""making the sea safe for those that sailed thereon.""";
467;Sextus Pompeius;67–35 BC;;Rome;He was the last focus of opposition to the Second Triumvirate.;